,Arts & Entertainment,College & University,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
1,6,0,57,21,3,4,0,9,5
2,0,1,44,6,17,6,6,47,24
3,9,0,44,11,11,12,3,9,17
4,14,6,14,3,1,67,0,61,3
5,0,0,5,3,3,11,11,53,25
6,0,2,22,0,18,24,30,5,156
7,19,2,129,9,10,32,0,72,9
8,2,0,18,3,7,4,0,81,8
9,7,2,75,13,16,24,4,16,8
10,4,0,73,15,14,10,24,27,6
11,3,19,30,1,5,9,0,19,38
12,4,0,147,1,29,7,0,125,43
13,0,150,1,4,3,2,25,4,3
14,4,1,94,2,220,7,0,25,3
15,9,1,94,21,15,23,12,45,11
16,1,7,62,0,0,25,7,14,2
17,29,5,31,18,7,45,0,12,13
18,12,5,17,25,6,10,0,11,11
19,13,0,71,9,60,78,44,97,13
20,10,5,77,26,25,18,23,21,4
21,1,0,43,0,1,2,0,94,3
22,14,9,48,7,12,10,0,13,0
23,11,3,32,5,28,44,23,42,29
24,1,0,0,0,56,30,1,24,0
25,5,5,77,13,107,12,9,99,16
26,6,4,23,7,9,55,17,31,8
27,2,4,23,40,4,4,46,14,7
28,8,18,24,3,20,15,1,22,26
29,15,27,41,11,18,33,0,19,5
30,7,2,32,28,16,9,23,42,1
31,1,10,46,1,1,8,0,36,3
32,0,0,63,3,1,10,0,17,1
33,2,0,18,31,4,4,78,3,5
34,10,47,85,12,14,69,152,82,8
35,5,0,7,17,0,1,54,19,10
36,3,1,38,34,2,13,9,34,16
37,16,1,43,4,34,18,0,42,16
38,5,6,19,7,14,10,10,20,11
39,5,2,35,27,5,39,0,26,5
40,2,17,41,0,9,22,0,64,0
41,3,2,20,5,5,18,36,27,9
42,3,1,6,1,2,8,0,9,89
43,1,5,47,0,47,23,1,26,127
44,4,1,14,3,6,20,13,38,2
45,3,0,21,0,4,12,8,69,9
46,2,0,22,12,7,50,0,62,0
47,7,1,26,24,5,10,2,19,8
48,11,0,24,46,6,3,0,10,8
49,3,0,31,5,0,84,0,4,103
50,7,1,40,15,20,111,7,56,39
51,17,0,37,37,4,46,6,10,7
52,6,9,29,7,11,26,1,12,12
53,0,0,5,1,1,0,68,67,1
54,6,1,43,3,3,49,0,4,2
